round,niche,temp,moist_level,sample_no,dry_mass,actual_moist_perc,flux_nmol_C2H4_g_hr,flux_gN_g_h
1,Moss,25,150,17,3.71,61.99,1.863,8.70038E-09
1,Soil,25,25,13,9.069,25.48,0.008,3.55996E-11
1,Soil,25,25,14,10.55,18.48,-0.010,-4.72346E-11
1,Soil,25,25,15,7.68,18.88,-0.009,-4.25673E-11
1,Soil,25,25,16,15.5,20.13,-0.012,-5.44539E-11
1,Soil,25,25,17,14.585,27.91,0.033,1.52233E-10
1,Soil,25,50,13,9.297,35.71,0.168,7.86344E-10
1,Soil,25,50,14,15.495,40.98,-0.007,-3.28889E-11
1,Soil,25,50,15,8.28,38.16,-0.026,-1.2147E-10
1,Soil,25,50,16,12.45,17.99,-0.013,-6.11207E-11
1,Soil,25,50,17,0.692,377.17,-0.503,-2.3488E-09
1,Soil,25,100,13,14.972,18.50,-0.006,-2.78386E-11
1,Soil,25,100,14,10.42,23.80,-0.015,-7.0816E-11
1,Soil,25,100,15,13.812,29.61,-0.013,-5.95422E-11
1,Soil,25,100,16,17.4,25.34,0.030,1.42159E-10
1,Soil,25,100,17,13.745,27.49,-0.025,-1.15179E-10
1,Soil,25,150,13,15.02,25.37,-0.016,-7.29885E-11
1,Soil,25,150,14,10.09,27.55,-0.007,-3.4761E-11
1,Soil,25,150,15,15.13,25.38,-0.009,-4.24605E-11
1,Soil,25,150,16,12.8,22.42,-0.011,-5.01896E-11
1,Soil,25,150,17,12.38,39.66,0.000,9.66667E-13
1,Wood,25,25,13,2.6,36.15,-0.089,-4.14228E-10
1,Wood,25,25,14,1.96,220.41,0.004,1.94848E-11
1,Wood,25,25,15,1.44,82.64,0.265,1.23837E-09
1,Wood,25,25,16,1.78,80.34,1.210,5.64795E-09
1,Wood,25,25,17,2.48,206.85,0.129,6.0209E-10
1,Wood,25,50,13,1.64,101.83,-0.056,-2.63366E-10
1,Wood,25,50,14,1.45,211.03,-0.142,-6.61957E-10
1,Wood,25,50,15,1.67,157.49,0.230,1.07585E-09
1,Wood,25,50,16,2.21,42.08,0.375,1.75154E-09
1,Wood,25,50,17,2.09,320.10,0.057,2.6769E-10
1,Wood,25,100,13,3.75,139.73,-0.065,-3.05051E-10
1,Wood,25,100,14,3.24,246.91,0.406,1.895E-09
1,Wood,25,100,15,2.11,168.72,0.890,4.15512E-09
1,Wood,25,100,16,3.19,124.45,0.515,2.4051E-09
1,Wood,25,100,17,1.71,235.09,0.963,4.497E-09
