sample,temp,moist_level,sample_no,tin_mass,tin _wet_mass,tin _dry_mass,dry_mass,actual_moist,
Moss,150,5,4,1.01,3.05,2.25,1.24,64.51612903,
Litter,5,150,5,1.06,4.47,3.13,2.07,64.73429952,
Moss,50,25,18,1.13,7.43,4.95,3.82,64.92146597,
Moss,100,15,10,1.13,4.94,3.44,2.31,64.93506494,
Moss,150,5,5,1.03,4.99,3.43,2.4,65,
Litter,35,100,22,1.11,4.928,3.42,2.31,65.28138528,
Moss,100,35,24,1.13,9.09,5.91,4.78,66.52719665,
Lichen,50,15,7,1.11,5.19,3.56,2.45,66.53061224,
Moss,150,35,22,1.05,5.82,3.91,2.86,66.78321678,
Moss,25,35,20,1.12,6.09,4.09,2.97,67.34006734,
Moss,25,35,19,1.11,3.73,2.67,1.56,67.94871795,
Litter,5,150,6,1.08,4.09,2.87,1.79,68.15642458,
Litter,35,25,22,1.11,5.18,3.53,2.42,68.18181818,
Moss,25,15,7,1.11,2.66,2.03,0.92,68.47826087,
Lichen,150,15,8,1.1,6.61,4.36,3.26,69.01840491,
Wood,100,15,12,1.07,6.06,4.01,2.94,69.72789116,
Litter,5,25,3,1.09,4.54,3.12,2.03,69.95073892,
Litter,25,100,14,1.12,4.07,2.85,1.73,70.52023121,
Wood,50,5,4,1.07,5.27,3.52,2.45,71.42857143,
Lichen,25,50,15,1.09,5.17,3.47,2.38,71.42857143,
Moss,50,25,13,1.14,5.52,3.69,2.55,71.76470588,
Soil,100,5,2,1.1,20.22,12.224,11.124,71.88061848,
Lichen,25,25,18,1.09,2.76,2.06,0.97,72.16494845,
Lichen,150,15,7,1.09,6.62,4.3,3.21,72.2741433,
Moss,50,15,7,1.11,4.81,3.25,2.14,72.89719626,
Lichen,25,150,14,1.09,10.79,6.7,5.61,72.90552585,
Lichen,35,150,20,1.082,7.099,4.54,3.458,74.00231348,
Moss,150,25,15,1.14,7.41,4.74,3.6,74.16666667,
Lichen,35,50,22,1.125,7.214,4.59,3.465,75.72871573,
Litter,35,100,20,1.105,4.33,2.94,1.835,75.7493188,
Wood,25,15,11,1.05,5.34,3.49,2.44,75.81967213,
Lichen,25,5,4,1.06,4.27,2.88,1.82,76.37362637,
Litter,25,150,18,1.08,4.3,2.89,1.81,77.90055249,
Moss,100,15,7,1.13,18.95,11.07,9.94,79.27565392,
Moss,50,5,5,1.04,4.92,3.2,2.16,79.62962963,
Moss,150,5,1,1.03,4.57,3,1.97,79.69543147,
Lichen,50,5,6,1.07,4.13,2.77,1.7,80,
Lichen,35,100,24,1.108,1.562,1.36,0.252,80.15873016,
Wood,25,25,16,1.05,4.26,2.83,1.78,80.33707865,
Wood,150,35,21,1.07,7.07,4.38,3.31,81.26888218,
Litter,100,15,8,1.09,5.1,3.3,2.21,81.4479638,
Moss,50,25,15,1.16,8.59,5.25,4.09,81.66259169,
Lichen,25,25,14,1.09,5.02,3.25,2.16,81.94444444,
Lichen,35,150,22,1.109,5.715,3.64,2.531,81.98340577,
Wood,150,25,18,1.03,3.38,2.32,1.29,82.17054264,
Moss,50,15,9,1.11,2.66,1.96,0.85,82.35294118,
Litter,50,15,7,1.06,4.07,2.71,1.65,82.42424242,
Wood,25,25,15,1.05,3.68,2.49,1.44,82.63888889,
Lichen,25,15,7,1.04,3.27,2.25,1.21,84.29752066,
Litter,35,50,22,1.098,4.991,3.21,2.112,84.32765152,
Lichen,35,50,24,1.086,7.332,4.45,3.364,85.67181926,
Lichen,25,150,17,1.11,3.64,2.47,1.36,86.02941176,
Moss,50,25,16,1.15,4.04,2.7,1.55,86.4516129,
Moss,150,15,11,1.1,8.86,5.26,4.16,86.53846154,
Wood,25,15,10,1.04,4.25,2.75,1.71,87.71929825,
Lichen,150,15,9,1.08,6.09,3.74,2.66,88.34586466,
Wood,150,15,7,1.07,4.69,2.99,1.92,88.54166667,
Wood,25,15,8,1.06,6.18,3.76,2.7,89.62962963,
Wood,50,35,22,1.07,8.35,4.89,3.82,90.57591623,
Lichen,150,15,11,1.09,8.03,4.71,3.62,91.71270718,
Lichen,35,100,23,1.092,2.285,1.71,0.618,93.0420712,
Wood,150,35,22,1.07,7.91,4.59,3.52,94.31818182,
Lichen,150,5,6,1.09,4.31,2.74,1.65,95.15151515,
Litter,5,100,2,1.11,5.06,3.13,2.02,95.54455446,
Wood,150,15,8,1.06,6.73,3.92,2.86,98.25174825,
Lichen,50,5,4,1.08,5.92,3.51,2.43,99.17695473,
Lichen,150,5,2,1.06,6.08,3.58,2.52,99.20634921,
Litter,25,50,13,1.09,5.33,3.21,2.12,100,
Wood,50,5,1,1.05,4,2.52,1.47,100.6802721,
Lichen,25,5,1,1.06,4.28,2.66,1.6,101.25,
Lichen,100,5,2,1.05,3.57,2.3,1.25,101.6,
Wood,50,25,13,1.05,4.36,2.69,1.64,101.8292683,
Moss,150,15,12,1.15,12.1,6.57,5.42,102.0295203,
Wood,150,35,23,1.07,7,3.97,2.9,104.4827586,
Moss,100,25,18,1.12,3.78,2.42,1.3,104.6153846,
Wood,100,25,18,1.07,4.49,2.74,1.67,104.7904192,
Litter,35,25,23,1.12,5.464,3.24,2.12,104.9056604,
