,niche,sample_no,temp_C,moist,ppm,ppm_corrected,drymass,actual_moist,incubation_time,notes
257,Soil,8,15,10,2.338764,-5.309934,9.36,14.63675214,24.5,NA
273,Soil,9,15,10,2.474214,-5.174484,9.4,15.42553191,24.5,NA
147,Soil,1,15,25,2.763726,-4.884972,9,32.55555556,24.5,NA
163,Soil,2,15,25,3.052509,-4.596189,8.9,33.14606742,24.5,NA
179,Soil,3,15,25,2.338512,-5.310186,9.21,30.51031488,24.5,NA
195,Soil,4,15,25,3.805215,-3.843483,8.99,32.14682981,24.5,NA
211,Soil,5,15,25,4.611678,-3.03702,9.08,31.3876652,24.5,NA
227,Soil,6,15,25,3.595803,-4.052895,8.9,28.98876404,24.5,NA
243,Soil,7,15,25,18.110724,10.462026,9.17,30.53435115,24.5,NA
259,Soil,8,15,25,3.952635,-3.696063,9.33,28.1886388,24.5,NA
275,Soil,9,15,25,2.848614,-4.800084,9.13,27.05366922,24.5,NA
148,Soil,1,15,50,3.105366,-4.543332,8.99,55.72858732,24.5,NA
164,Soil,2,15,50,3.33969,-4.309008,9,59.77777778,24.5,NA
180,Soil,3,15,50,3.254631,-4.394067,9.02,55.87583149,24.5,NA
196,Soil,4,15,50,2.580324,-5.068374,9.11,54.66520307,24.5,NA
212,Soil,5,15,50,2.891301,-4.757397,9.15,49.61748634,24.5,NA
228,Soil,6,15,50,3.36012,-4.288578,8.96,53.45982143,24.5,NA
244,Soil,7,15,50,2.584059,-5.064639,9.09,52.69526953,24.5,NA
260,Soil,8,15,50,2.182434,-5.466264,9.2,54.56521739,24.5,NA
276,Soil,9,15,50,2.61195,-5.036748,9.1,50.76923077,24.5,NA
146,Soil,1,15,100,2.969142,-4.679556,9.01,108.5460599,24.5,NA
162,Soil,2,15,100,2.895486,-4.753212,8.92,108.4080717,24.5,NA
178,Soil,3,15,100,4.349247,-3.299451,9.04,102.4336283,24.5,NA
194,Soil,4,15,100,2.818842,-4.829856,9,108.3333333,24.5,NA
210,Soil,5,15,100,2.457528,-5.19117,9.08,106.7180617,24.5,NA
226,Soil,6,15,100,2.622093,-5.026605,9.03,106.8660022,24.5,NA
242,Soil,7,15,100,3.035751,-4.612947,9.16,104.5851528,24.5,NA
258,Soil,8,15,100,2.597586,-5.051112,9.22,104.3383948,24.5,NA
274,Soil,9,15,100,2.616441,-5.032257,9.34,98.39400428,24.5,NA
149,Soil,1,25,10,3.202852,-5.935978,9.2,17.5,24,NA
165,Soil,2,25,10,2.696092,-6.442738,9.09,18.04180418,24,NA
181,Soil,3,25,10,4.018052,-5.120778,9.22,16.81127983,24,NA
197,Soil,4,25,10,2.684772,-6.454058,8.93,15.90145577,24,NA
213,Soil,5,25,10,3.401932,-5.736898,9.24,15.69264069,24,NA
229,Soil,6,25,10,5.655588,-3.483242,9.3,25.37634409,24,NA
245,Soil,7,25,10,3.2717,-5.86713,9.33,15.00535906,24,NA
261,Soil,8,25,10,3.004484,-6.134346,9.33,15.75562701,24,NA
277,Soil,9,25,10,2.751876,-6.386954,9.48,14.76793249,24,NA
151,Soil,1,25,25,3.328932,-5.809898,9.02,31.15299335,24,NA
167,Soil,2,25,25,2.857124,-6.281706,9.15,31.69398907,24,NA
183,Soil,3,25,25,2.601916,-6.536914,9.08,32.26872247,24,NA
199,Soil,4,25,25,2.980228,-6.158602,9.09,31.57315732,24,NA
215,Soil,5,25,25,2.887412,-6.251418,9.09,31.79317932,24,NA
231,Soil,6,25,25,3.133316,-6.005514,9.37,31.91035219,24,NA
247,Soil,7,25,25,6.864444,-2.274386,9.26,30.12958963,24,NA
263,Soil,8,25,25,2.834356,-6.304474,9.29,30.35522067,24,NA
279,Soil,9,25,25,3.098436,-6.040394,9.34,29.33618844,24,NA
152,Soil,1,25,50,2.302596,-6.836234,9.38,53.51812367,24,NA
168,Soil,2,25,50,9.511852,0.373022,9,60,24,NA
184,Soil,3,25,50,3.5019,-5.63693,9.25,53.18918919,24,NA
200,Soil,4,25,50,2.326548,-6.812282,9.27,53.72168285,24,NA
216,Soil,5,25,50,2.49042,-6.64841,9.18,51.19825708,24,NA
232,Soil,6,25,50,4.507772,-4.631058,9.26,53.13174946,24,NA
248,Soil,7,25,50,2.68954,-6.44929,9.24,53.35497835,24,NA
264,Soil,8,25,50,3.332308,-5.806522,9.26,53.0237581,24,NA
280,Soil,9,25,50,5.090524,-4.048306,9.19,54.95103373,24,NA
150,Soil,1,25,100,4.42262,-4.71621,8.99,108.4538376,24,NA
166,Soil,2,25,100,9.234756,0.095926,9.22,102.6030369,24,NA
182,Soil,3,25,100,5.608212,-3.530618,9.34,105.2462527,24,NA
198,Soil,4,25,100,2.97942,-6.15941,9.31,105.8002148,24,NA
214,Soil,5,25,100,2.933204,-6.205626,9.41,104.250797,24,NA
230,Soil,6,25,100,2.400972,-6.737858,9.33,104.5016077,24,NA
246,Soil,7,25,100,2.667412,-6.471418,9.46,101.6913319,24,NA
262,Soil,8,25,100,3.222244,-5.916586,9.44,104.7669492,24,NA
278,Soil,9,25,100,3.39334,-5.74549,9.48,104.1139241,24,NA
153,Soil,1,35,10,83.989036,72.439224,9.17,16.35768811,24.25,NA
169,Soil,2,35,10,202.80902,191.259208,9.31,16.433942,24.25,NA
185,Soil,3,35,10,5.01282,-6.536992,9.11,17.233809,24.25,NA
201,Soil,4,35,10,3.07242,-8.477392,9.15,17.26775956,24.25,NA
217,Soil,5,35,10,3.001652,-8.54816,9.24,16.77489177,24.25,NA
233,Soil,6,35,10,7.961484,-3.588328,9.27,15.31823085,24.25,NA
249,Soil,7,35,10,2.7435,-8.806312,9.39,14.48349308,24.25,NA
265,Soil,8,35,10,2.931236,-8.618576,9.44,14.83050847,24.25,NA
281,Soil,9,35,10,5.141684,-6.408128,9.35,14.65240642,24.25,NA
