,data_file,niche,sample_no,temp_C,moist_level,moist,peaka rea,ppm,Bag_ID,bag_avg,avg_blank,median_blank,ppm_orreted,incubation_time
282,2022_09_06_REH_lim_exp2_084,Litter,3,25,1.5,150,56243,6.63034,A,6.220324,3.594198,3.580336,-3.17032,24
283,2022_09_06_REH_lim_exp2_085,Litter,4,25,1.5,150,51436.1,6.245788,A,6.220324,3.594198,3.580336,-3.554872,24
284,2022_09_06_REH_lim_exp2_086,Litter,5,25,1.5,150,33693.5,4.82638,A,6.220324,3.594198,3.580336,-4.97428,24
285,2022_09_06_REH_lim_exp2_087,Litter,6,25,1.5,150,16947.9,3.486732,A,6.220324,3.594198,3.580336,-6.313928,24
286,2022_09_06_REH_lim_exp2_088,Litter,7,25,1.5,150,25362.6,4.159908,A,6.220324,3.594198,3.580336,-5.640752,24
287,2022_09_06_REH_lim_exp2_089,Litter,8,25,1.5,150,22357.5,3.9195,A,6.220324,3.594198,3.580336,-5.88116,24
288,2022_09_06_REH_lim_exp2_090,Litter,9,25,1.5,150,18519.9,3.612492,A,6.220324,3.594198,3.580336,-6.188168,24
397,2022_09_08_REH_lim_exp2_103,Litter,1,35,0.25,25,190335.7,17.078756,A,6.220324,12.612708,12.570904,-1.712472,24.5
398,2022_09_08_REH_lim_exp2_104,Litter,2,35,0.25,25,178284.9,16.114692,A,6.220324,12.612708,12.570904,-2.676536,24.5
399,2022_09_08_REH_lim_exp2_105,Litter,3,35,0.25,25,217746,19.27158,A,6.220324,12.612708,12.570904,0.480352,24.5
400,2022_09_08_REH_lim_exp2_106,Litter,4,35,0.25,25,83300.4,8.515932,A,6.220324,12.612708,12.570904,-10.275296,24.5
401,2022_09_08_REH_lim_exp2_107,Litter,5,35,0.25,25,126359.5,11.96066,A,6.220324,12.612708,12.570904,-6.830568,24.5
402,2022_09_08_REH_lim_exp2_108,Litter,6,35,0.25,25,123841.2,11.759196,A,6.220324,12.612708,12.570904,-7.032032,24.5
