niche,temp,moist_level,sample_no,dry_mass,actual_moist,peak_area,ppm,ppm_corrected,hrs_incubation,flux_nmol_C2H4_g_hr,flux_mol_N_g_hr,flux_gram_N_g_hr,actual_moist_perc,group_mean,group_sd,moist_z,actual_moist_group
Lichen,15,100,7,3.57,0.425770308,7187.5,2.3905,-2.036044,22,0,-1.875244173089951e-11,-2.626598255921902e-10,42.577030799999996,67.577514,52.88857007309739,-0.47270106122072847,"(40.3,60.9]"
Lichen,15,100,8,1.77,0.333333333,302681.8,26.030044,21.6035,22,1.2039570308914358,4.013190102971452e-10,5.621154981529024e-9,33.3333333,67.577514,52.88857007309739,-0.6474779078479727,"[1.21,40.3]"
Lichen,15,100,9,4.82,0.284232365,21494.8,3.535084,-0.89146,22,0,-6.081261858574887e-12,-8.517841047450087e-11,28.423236499999998,67.577514,52.88857007309739,-0.7403164321872343,"[1.21,40.3]"
Lichen,15,100,10,2.47,0.012145749,6386.2,2.326396,-2.100148,22,0,-2.795708130594048e-11,-3.915864507279165e-10,1.2145749000000001,67.577514,52.88857007309739,-1.2547690173562955,"[1.21,40.3]"
Lichen,15,100,11,1.9,0.573684211,31028.1,4.297748,-0.128795999999999,22,0,-2.2288849724133005e-12,-3.121932314310138e-11,57.3684211,67.577514,52.88857007309739,-0.19303023102893477,"(40.3,60.9]"
Lichen,15,150,7,3.21,0.722741433,430476.2,36.253596,31.827052,22,0.9780285163419535,3.2600950544731783e-10,4.566317339948947e-9,72.2741433,113.042837835,77.04552767916405,-0.529150695219722,"(60.9,99.2]"
Lichen,15,150,8,3.26,0.690184049,50871.3,5.885204,1.45866,22,0.044136369830209306,1.4712123276736435e-11,2.0606829710026423e-10,69.0184049,113.042837835,77.04552767916405,-0.5714080266712981,"(60.9,99.2]"
Lichen,15,150,9,2.66,0.883458647,8694.1,2.511028,-1.915516,22,0,-2.36778916537851e-11,-3.316491250270718e-10,88.34586469999999,113.042837835,77.04552767916405,-0.3205503794826884,"(60.9,99.2]"
Lichen,15,150,10,1.34,1.26119403,7362.9,2.404532,-2.022012,22,0,-4.961555022796002e-11,-6.949501273779677e-10,126.11940299999999,113.042837835,77.04552767916405,0.16972516846732397,"(99.2,226]"
Lichen,15,150,11,3.62,0.917127072,151942.4,13.970892,9.544348,22,0.26007453566875305,8.669151188958436e-11,1.2142619995838412e-9,91.7127072,113.042837835,77.04552767916405,-0.2768509902849099,"(60.9,99.2]"
