niche,sample_no,temp_C,moist,ppm,Bag_ID,avg_blank,bag_avg,ppm_corrected,incubation_time
Wood,3,15,25,8.534733,AB,2.70956625,2.1591825,3.66598425,24.25
Wood,4,15,25,4.403634,AB,2.70956625,2.1591825,-0.46511475,24.25
Wood,5,15,25,5.647578,AB,2.70956625,2.1591825,0.77882925,24.25
Wood,6,15,25,3.950259,AB,2.70956625,2.1591825,-0.91848975,24.25
Wood,7,15,25,3.1596,AB,2.70956625,2.1591825,-1.70914875,24.25
Wood,8,15,25,5.212869,AB,2.70956625,2.1591825,0.34412025,24.25
Wood,9,15,25,2.909256,AB,2.70956625,2.1591825,-1.95949275,24.25
Wood,1,15,50,5.056458,AB,2.70956625,2.1591825,0.18770925,24.25
Wood,2,15,50,5.661222,AB,2.70956625,2.1591825,0.79247325,24.25
Wood,3,15,50,4.519671,AB,2.70956625,2.1591825,-0.34907775,24.25
Wood,4,15,50,6.96651,AB,2.70956625,2.1591825,2.09776125,24.25
Wood,5,15,50,3.180903,AB,2.70956625,2.1591825,-1.68784575,24.25
Wood,6,15,50,6.546228,AB,2.70956625,2.1591825,1.67747925,24.25
Wood,7,15,50,5.066097,AB,2.70956625,2.1591825,0.19734825,24.25
Wood,8,15,50,7.41966,AB,2.70956625,2.1591825,2.55091125,24.25
Wood,9,15,50,6.960246,AB,2.70956625,2.1591825,2.09149725,24.25
Wood,1,15,100,7.562643,AB,2.70956625,2.1591825,2.69389425,24.25
Wood,2,15,100,4.712109,AB,2.70956625,2.1591825,-0.15663975,24.25
Wood,3,15,100,5.994465,AB,2.70956625,2.1591825,1.12571625,24.25
Wood,4,15,100,8.184903,AB,2.70956625,2.1591825,3.31615425,24.25
Wood,5,15,100,4.495947,AB,2.70956625,2.1591825,-0.37280175,24.25
Wood,6,15,100,3.147333,AB,2.70956625,2.1591825,-1.72141575,24.25
Wood,7,15,100,4.073199,AB,2.70956625,2.1591825,-0.79554975,24.25
Wood,8,15,100,5.040303,AB,2.70956625,2.1591825,0.17155425,24.25
Wood,9,15,100,6.641502,AB,2.70956625,2.1591825,1.77275325,24.25
Wood,1,15,150,12.215859,AB,2.70956625,2.1591825,7.34711025,24.25
