"","data_file","niche","sample_no","temp","moist_level","peaka rea","ppm","Bag_ID","bag_avg","avg_blank","ppm_corrected"
"153","2022_09_05_REH_clim_exp2_027","Soil",9,"5 C",0.25,6911,2.68378,"AB",2.1591825,2.580342,-2.0557445
"154","2022_09_05_REH_clim_exp2_029","Soil",1,"5 C",0.5,6265,2.6321,"AB",2.1591825,2.580342,-2.1074245
"155","2022_09_05_REH_clim_exp2_030","Soil",2,"5 C",0.5,17099.5,3.49886,"AB",2.1591825,2.580342,-1.2406645
"156","2022_09_05_REH_clim_exp2_031","Soil",3,"5 C",0.5,6140.3,2.622124,"AB",2.1591825,2.580342,-2.1174005
"157","2022_09_05_REH_clim_exp2_032","Soil",4,"5 C",0.5,6267.6,2.632308,"AB",2.1591825,2.580342,-2.1072165
"158","2022_09_05_REH_clim_exp2_033","Soil",5,"5 C",0.5,4214.1,2.468028,"AB",2.1591825,2.580342,-2.2714965
"159","2022_09_05_REH_clim_exp2_034","Soil",6,"5 C",0.5,9545,2.8945,"AB",2.1591825,2.580342,-1.8450245
"160","2022_09_05_REH_clim_exp2_035","Soil",7,"5 C",0.5,11060.7,3.015756,"AB",2.1591825,2.580342,-1.7237685
"161","2022_09_05_REH_clim_exp2_036","Soil",8,"5 C",0.5,4758.2,2.511556,"AB",2.1591825,2.580342,-2.2279685
"162","2022_09_05_REH_clim_exp2_037","Soil",9,"5 C",0.5,9503,2.89114,"AB",2.1591825,2.580342,-1.8483845
"163","2022_09_05_REH_clim_exp2_039","Soil",1,"5 C",1,10297.2,2.954676,"AB",2.1591825,2.580342,-1.7848485
"164","2022_09_05_REH_clim_exp2_040","Soil",2,"5 C",1,15182.7,3.345516,"AB",2.1591825,2.580342,-1.3940085
"165","2022_09_05_REH_clim_exp2_041","Soil",3,"5 C",1,15498.9,3.370812,"AB",2.1591825,2.580342,-1.3687125
"166","2022_09_05_REH_clim_exp2_042","Soil",4,"5 C",1,102989.7,10.370076,"AB",2.1591825,2.580342,5.6305515
"167","2022_09_05_REH_clim_exp2_043","Soil",5,"5 C",1,17790.5,3.55414,"AB",2.1591825,2.580342,-1.1853845
"168","2022_09_05_REH_clim_exp2_044","Soil",6,"5 C",1,7696.5,2.74662,"AB",2.1591825,2.580342,-1.9929045
"169","2022_09_05_REH_clim_exp2_045","Soil",7,"5 C",1,3464.5,2.40806,"AB",2.1591825,2.580342,-2.3314645
"170","2022_09_05_REH_clim_exp2_046","Soil",8,"5 C",1,9275.4,2.872932,"AB",2.1591825,2.580342,-1.8665925
"171","2022_09_05_REH_clim_exp2_047","Soil",9,"5 C",1,20086.9,3.737852,"AB",2.1591825,2.580342,-1.0016725
"172","2022_09_05_REH_clim_exp2_049","Soil",1,"5 C",0.1,5000.4,2.530932,"AB",2.1591825,2.580342,-2.2085925
"173","2022_09_05_REH_clim_exp2_058","Soil",3,"5 C",0.1,4776.5,2.51302,"AB",2.1591825,2.580342,-2.2265045
"174","2022_09_05_REH_clim_exp2_059","Soil",2,"5 C",0.1,5387.4,2.561892,"AB",2.1591825,2.580342,-2.1776325
"175","2022_09_05_REH_clim_exp2_060","Soil",4,"5 C",0.1,102111.3,10.299804,"AB",2.1591825,2.580342,5.5602795
"176","2022_09_05_REH_clim_exp2_061","Soil",5,"5 C",0.1,6554,2.65522,"AB",2.1591825,2.580342,-2.0843045
"177","2022_09_05_REH_clim_exp2_062","Soil",6,"5 C",0.1,33648.2,4.822756,"AB",2.1591825,2.580342,0.0832315000000001
"178","2022_09_05_REH_clim_exp2_063","Soil",7,"5 C",0.1,7347,2.71866,"AB",2.1591825,2.580342,-2.0208645
"179","2022_09_05_REH_clim_exp2_064","Soil",8,"5 C",0.1,11603.6,3.059188,"AB",2.1591825,2.580342,-1.6803365
"180","2022_09_05_REH_clim_exp2_065","Soil",9,"5 C",0.1,3863.2,2.439956,"AB",2.1591825,2.580342,-2.2995685
"181","2022_09_05_REH_clim_exp2_070","Wood",1,"5 C",0.25,5097.5,2.5387,"AB",2.1591825,5.84379,-5.4642725
"182","2022_09_05_REH_clim_exp2_071","Wood",2,"5 C",0.25,3937.6,2.445908,"AB",2.1591825,5.84379,-5.5570645
"183","2022_09_05_REH_clim_exp2_072","Wood",3,"5 C",0.25,4386.9,2.481852,"AB",2.1591825,5.84379,-5.5211205
"184","2022_09_05_REH_clim_exp2_073","Wood",4,"5 C",0.25,8915.4,2.844132,"AB",2.1591825,5.84379,-5.1588405
"185","2022_09_05_REH_clim_exp2_074","Wood",5,"5 C",0.25,5429.8,2.565284,"AB",2.1591825,5.84379,-5.4376885
"186","2022_09_05_REH_clim_exp2_075","Wood",6,"5 C",0.25,3921.2,2.444596,"AB",2.1591825,5.84379,-5.5583765
"187","2022_09_05_REH_clim_exp2_076","Wood",7,"5 C",0.25,22223.3,3.908764,"AB",2.1591825,5.84379,-4.0942085
"188","2022_09_05_REH_clim_exp2_077","Wood",8,"5 C",0.25,11376.8,3.041044,"AB",2.1591825,5.84379,-4.9619285
"189","2022_09_05_REH_clim_exp2_078","Wood",9,"5 C",0.25,74967.9,8.128332,"AB",2.1591825,5.84379,0.1253595
"190","2022_09_05_REH_clim_exp2_080","Wood",1,"5 C",0.5,2757.2,2.351476,"AB",2.1591825,5.84379,-5.6514965
"191","2022_09_05_REH_clim_exp2_081","Wood",2,"5 C",0.5,7630.5,2.74134,"AB",2.1591825,5.84379,-5.2616325
"192","2022_09_05_REH_clim_exp2_082","Wood",3,"5 C",0.5,2382,2.32146,"AB",2.1591825,5.84379,-5.6815125
"193","2022_09_05_REH_clim_exp2_083","Wood",4,"5 C",0.5,8683.1,2.825548,"AB",2.1591825,5.84379,-5.1774245
"194","2022_09_05_REH_clim_exp2_084","Wood",5,"5 C",0.5,4712,2.50786,"AB",2.1591825,5.84379,-5.4951125
"195","2022_09_05_REH_clim_exp2_085","Wood",6,"5 C",0.5,3107.2,2.379476,"AB",2.1591825,5.84379,-5.6234965
"196","2022_09_05_REH_clim_exp2_086","Wood",7,"5 C",0.5,5575.2,2.576916,"AB",2.1591825,5.84379,-5.4260565
"197","2022_09_05_REH_clim_exp2_087","Wood",8,"5 C",0.5,14678.4,3.305172,"AB",2.1591825,5.84379,-4.6978005
"198","2022_09_05_REH_clim_exp2_088","Wood",9,"5 C",0.5,27838.4,4.357972,"AB",2.1591825,5.84379,-3.6450005
"199","2022_09_05_REH_clim_exp2_090","Wood",1,"5 C",1,5027.4,2.533092,"AB",2.1591825,5.84379,-5.4698805
"200","2022_09_05_REH_clim_exp2_091","Wood",2,"5 C",1,6532.5,2.6535,"AB",2.1591825,5.84379,-5.3494725
